"REF_DATE","GEO","DGUID","Population and dwelling counts (13)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Admirals Beach","2021A00051001186","Population density per square kilometre, 2021","","0","units","0","","4.11","4.0","","","","1"
"2021","Admirals Beach","2021A00051001186","National population rank, 2021","","0","units","0","","4.12","4267","","","","0"
"2021","Admirals Beach","2021A00051001186","Province/territory population rank, 2021","","0","units","0","","4.13","325","","","","0"
"2021","Aquaforte","2021A00051001144","Population, 2021","","0","units","0","","5.1","74","","","","0"
"2021","Aquaforte","2021A00051001144","Population, 2016","","0","units","0","","5.2","80","","","","0"
"2021","Aquaforte","2021A00051001144","Population percentage change, 2016 to 2021","","0","units","0","","5.3","-7.5","","","","1"
"2021","Aquaforte","2021A00051001144","Total private dwellings, 2021","","0","units","0","","5.4","63","","","","0"
"2021","Aquaforte","2021A00051001144","Total private dwellings, 2016","","0","units","0","","5.5","71","","","","0"
"2021","Aquaforte","2021A00051001144","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","5.6","-11.3","","","","1"
"2021","Aquaforte","2021A00051001144","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.7","43","","","","0"
"2021","Aquaforte","2021A00051001144","Private dwellings occupied by usual residents, 2016","","0","units","0","","5.8","41","","","","0"
"2021","Aquaforte","2021A00051001144","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","5.9","4.9","","","","1"
"2021","Aquaforte","2021A00051001144","Land area in square kilometres, 2021","","0","units","0","","5.10","6.88","","","","2"
"2021","Aquaforte","2021A00051001144","Population density per square kilometre, 2021","","0","units","0","","5.11","10.7","","","","1"
"2021","Aquaforte","2021A00051001144","National population rank, 2021","","0","units","0","","5.12","4387","","","","0"
"2021","Aquaforte","2021A00051001144","Province/territory population rank, 2021","","0","units","0","","5.13","339","","","","0"
"2021","Arnold's Cove","2021A00051001270","Population, 2021","","0","units","0","","6.1","964","","","","0"
"2021","Arnold's Cove","2021A00051001270","Population, 2016","","0","units","0","","6.2","949","","","","0"
"2021","Arnold's Cove","2021A00051001270","Population percentage change, 2016 to 2021","","0","units","0","","6.3","1.6","","","","1"
"2021","Arnold's Cove","2021A00051001270","Total private dwellings, 2021","","0","units","0","","6.4","547","","","","0"
"2021","Arnold's Cove","2021A00051001270","Total private dwellings, 2016","","0","units","0","","6.5","537","","","","0"
"2021","Arnold's Cove","2021A00051001270","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","6.6","1.9","","","","1"
"2021","Arnold's Cove","2021A00051001270","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.7","434","","","","0"
"2021","Arnold's Cove","2021A00051001270","Private dwellings occupied by usual residents, 2016","","0","units","0","","6.8","392","","","","0"
"2021","Arnold's Cove","2021A00051001270","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","6.9","10.7","","","","1"
"2021","Arnold's Cove","2021A00051001270","Land area in square kilometres, 2021","","0","units","0","","6.10","5.25","","","","2"
"2021","Arnold's Cove","2021A00051001270","Population density per square kilometre, 2021","","0","units","0","","6.11","183.8","","","","1"
"2021","Arnold's Cove","2021A00051001270","National population rank, 2021","","0","units","0","","6.12","2155","","","","0"
"2021","Arnold's Cove","2021A00051001270","Province/territory population rank, 2021","","0","units","0","","6.13","79","","","","0"
"2021","Avondale","2021A00051001464","Population, 2021","","0","units","0","","7.1","584","","","","0"
"2021","Avondale","2021A00051001464","Population, 2016","","0","units","0","","7.2","641","","","","0"
"2021","Avondale","2021A00051001464","Population percentage change, 2016 to 2021","","0","units","0","","7.3","-8.9","","","","1"
"2021","Avondale","2021A00051001464","Total private dwellings, 2021","","0","units","0","","7.4","346","","","","0"
